tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,dog,retweeted,favorited,FavoriteCount,RetweetCount,img_source,img_num,Prediction_1,conf_int_alg_1,Prediction_Status_1,Prediction_2,conf_int_alg_2,Prediction_Status__2,Prediction_3,conf_int_alg_3,Prediction_Status__3
890240255349198849,nan,nan,2017-07-26 15:59:51 +0000,http://twitter.com/download/iphone ,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,nan,nan,,https://twitter.com/dog_rates/status/890240255349198849,14,10,Cassie,doggo,doggo,False,False,32467.0,7711.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
884162670584377345,nan,nan,2017-07-09 21:29:42 +0000,http://twitter.com/download/iphone ,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,nan,nan,,https://twitter.com/dog_rates/status/884162670584377345,12,10,Yogi,doggo,doggo,False,False,20771.0,3128.0,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1.0,German Shepherd,0.707046,True,Malinois,0.199396,True,Norwegian Elkhound,0.0491476,True
872967104147763200,nan,nan,2017-06-09 00:02:31 +0000,http://twitter.com/download/iphone ,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,nan,nan,,https://twitter.com/dog_rates/status/872967104147763200,12,10,None,doggo,doggo,False,False,28031.0,5669.0,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,2.0,Labrador Retriever,0.476913,True,Chesapeake Bay Retriever,0.174145,True,German Short-Haired Pointer,0.0928614,True
871515927908634625,nan,nan,2017-06-04 23:56:03 +0000,http://twitter.com/download/iphone ,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,nan,nan,,https://twitter.com/dog_rates/status/871515927908634625,12,10,Napolean,doggo,doggo,False,False,20730.0,3628.0,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,2.0,Komondor,0.974781,True,Briard,0.0200412999999999,True,Swab,0.00322824,False
871102520638267392,nan,nan,2017-06-03 20:33:19 +0000,http://twitter.com/download/iphone ,Never doubt a doggo 14/10 https://t.co/AbBLh2FZCH,nan,nan,,https://twitter.com/dog_rates/status/871102520638267392,14,10,None,doggo,doggo,False,False,21461.0,5764.0,,,,,,,,,,,
869596645499047938,nan,nan,2017-05-30 16:49:31 +0000,http://twitter.com/download/iphone ,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,nan,nan,,https://twitter.com/dog_rates/status/869596645499047938,12,10,Scout,doggo,doggo,False,False,16476.0,3327.0,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,1.0,Chihuahua,0.955156,True,Toy Terrier,0.00805373,True,Muzzle,0.00629563,False
858843525470990336,nan,nan,2017-05-01 00:40:27 +0000,http://twitter.com/download/iphone ,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge https://t.co/cUeDMlHJbq,nan,nan,,https://twitter.com/dog_rates/status/858843525470990336,13,10,None,doggo,doggo,False,False,16304.0,3771.0,https://pbs.twimg.com/media/C-s5oYZXkAAMHHq.jpg,1.0,Golden Retriever,0.57812,True,Labrador Retriever,0.286059,True,Bloodhound,0.0269173,True
855851453814013952,nan,nan,2017-04-22 18:31:02 +0000,http://twitter.com/download/iphone ,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel,nan,nan,,https://twitter.com/dog_rates/status/855851453814013952,13,10,None,doggo,doggo,False,False,47844.0,19196.0,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg,1.0,Flat-Coated Retriever,0.321676,True,Labrador Retriever,0.115138,True,Groenendael,0.0960997,True
854010172552949760,nan,nan,2017-04-17 16:34:26 +0000,http://twitter.com/download/iphone ,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs https://t.co/TXdT3tmuYk",nan,nan,,https://twitter.com/dog_rates/status/854010172552949760,11,10,None,doggo,doggo,False,False,17169.0,3433.0,https://pbs.twimg.com/media/C9oNt91WAAAFSLS.jpg,1.0,English Springer,0.3547329999999999,True,Collie,0.177538,True,Border Collie,0.131706,True
851953902622658560,nan,nan,2017-04-12 00:23:33 +0000,http://twitter.com/download/iphone ,RT @dog_rates: This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere https://t.co/xo7FZFIAao,8.29374341691347e+17,4196983835.0,2017-02-08 17:00:26 +0000,https://twitter.com/dog_rates/status/851953902622658560,13,10,Astrid,doggo,doggo,False,False,0.0,10706.0,https://pbs.twimg.com/media/C4KHj-nWQAA3poV.jpg,1.0,Staffordshire Bullterrier,0.757547,True,American Staffordshire Terrier,0.14995,True,Chesapeake Bay Retriever,0.0475226999999999,True
